,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
CS Restrooms - Other,NCC2025_AU,Miscellaneous,Restrooms,PublicRestroom,2025,AU,NCC,169,169,31,CS Restrooms - Other_NCC2025AU,CS Restrooms - Other_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Restrooms - OtherPeopleDef,,,,,,,,,12,Rule of Thumb,Public spaces - Toilet rooms - Public,IMC Table 403.3.1.6 - 50/70 per fixture,,Rule of ThumbPublic spaces - Toilet rooms - PublicIMC Table 403.3.1.6 - 50/70 per fixtureVent,0.000000,0.00,0,0.5,0,NCC S35C2l,BA Warehouse,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Restrooms - OtherElectricalEquipDef,HotelSmall Lobby_Eqp_Sch,0.278709,3.00,0.37,0.2,NCC J7D3a,,"Toilet, locker room, staff room, rest room and the like; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS Restrooms - OtherLightingDef,HotelSmall BLDG_LIGHT_RESTROOM_SCH,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Restrooms - OtherInfil,SchoolSecondary INFIL_SCH_PNNL,SecondarySchool,Restroom,,2.36,,Smooth,0.0022,13.9,4190,878,0.9,0.7,0.7,Mixed_Restroom_2mm,CalculatedEstimate,StandardCommercialFixturesAndPartitions,,Mixed_Restroom_2mm,CalculatedEstimateStandardCommercialFixturesAndPartitionsMixed_Restroom_2mmInternalMassDef
CS Sales Area,NCC2025_AU,Retail,Sales Area,Retail - sales,2025,AU,NCC,102,255,102,CS Sales Area_NCC2025AU,CS Sales Area_NCC2025AUScheduleSet,66.66666667,15,0.161458726,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Sales AreaPeopleDef,NCC-C6Shop-Occupancy,CS Sales AreaActivity,7.5,0.003539405,0.12,0.0006096,,,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Sales",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - SalesVent",0.464515,5.00,0,0.5,0,NCC S35C2l,,Class 6 shop/shopping centre; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Sales AreaElectricalEquipDef,NCC-C6Shop-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,Retail space including a museum and gallery whose purpose is the sale of objects; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Sales AreaLightingDef,NCC-C6Shop-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Sales AreaInfil,Always On,Retail,Point_of_Sale,,3.54,,MediumRough,0.0032,10.6,2496,1134,0.9,0.7,0.7,Mixed_Retail_3mm,CalculatedEstimate,DisplayShelvingAndMerchandiseInventory,,Mixed_Retail_3mm,CalculatedEstimateDisplayShelvingAndMerchandiseInventoryMixed_Retail_3mmInternalMassDef
CS Seating Area General,NCC2025_AU,Miscellaneous,Seating Area General,Sales area,2025,AU,NCC,230,196,120,CS Seating Area General_NCC2025AU,CS Seating Area General_NCC2025AUScheduleSet,33.33333333,30,0.322917452,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Seating Area GeneralPeopleDef,NCC-C6Shop-Occupancy,CS Seating Area GeneralActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Hotels, motels, resorts and dormitories - Lobbies/prefunction",,,"IMC Table 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",0.464515,5.00,0,0.5,0,NCC S35C2l,BA Hotel,Class 6 shop/shopping centre (retail seating area); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Seating Area GeneralElectricalEquipDef,NCC-C6Shop-Electric-Equipment,1.300643,14.00,0.37,0.2,NCC J7D3a,,Retail space including a museum and gallery whose purpose is the sale of objects; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Seating Area GeneralLightingDef,NCC-C6Shop-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Seating Area GeneralInfil,Always On,Space Function,Transp. seating,,2.18,,MediumRough,0.0063,6.65,1015,1349,0.9,0.7,0.7,Mixed_Seating_6mm,CalculatedEstimate,SofasChairsAndAreaRug,,Mixed_Seating_6mm,CalculatedEstimateSofasChairsAndAreaRugMixed_Seating_6mmInternalMassDef
CS Stairway,NCC2025_AU,Miscellaneous,Stairway,Stair,2025,AU,NCC,230,157,120,CS Stairway_NCC2025AU,CS Stairway_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS StairwayPeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Corridors serving other than Group R occupancies,,,IMC Table 403.3.1.1Public spaces - Corridors serving other than Group R occupanciesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,BA Warehouse,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS StairwayElectricalEquipDef,HotelSmall AlwaysOff,0.185806,2.00,0.37,0.2,NCC J7D3a,,"Stairways, including fire-isolated stairways; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aCS StairwayLightingDef,HotelSmall BLDG_LIGHT_STAIR_SCH,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS StairwayInfil,Always On,Space Function,Stairway,,1.77,,MediumRough,0.0188,9.97,3219,817,0.9,0.7,0.65,Concrete_Stairway_19mm,CalculatedEstimate,ConcreteStairsWithHandrailsAndGuardrails,,Concrete_Stairway_19mm,CalculatedEstimateConcreteStairsWithHandrailsAndGuardrailsConcrete_Stairway_19mmInternalMassDef
CS Storage - Hospital,NCC2025_AU,Hospital,Storage,Hospital - medical supply,2025,AU,NCC,102,0,0,CS Storage - Hospital_NCC2025AU,CS Storage - Hospital_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Storage - HospitalPeopleDef,NCC-C9aWard-Occupancy,,,,0.12,0.0006096,,,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Storage rooms",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - Storage roomsVent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9a storage (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Storage - HospitalElectricalEquipDef,Always On,0.139355,1.50,0.37,0.2,NCC J7D3a,,Storage; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Storage - HospitalLightingDef,NCC-C9aWard-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Storage - HospitalInfil,Always On,Space Function,Storage area,,6.89,,Smooth,0.0022,9.22,4416,928,0.9,0.7,0.7,Steel_Hospital_Storage_2mm,CalculatedEstimate,MedicalShelvingAndSupplyCarts,,Steel_Hospital_Storage_2mm,CalculatedEstimateMedicalShelvingAndSupplyCartsSteel_Hospital_Storage_2mmInternalMassDef
CS Storage - >= 50 ft2 ,NCC2025_AU,Miscellaneous,Storage - >= 50 ft2,Storage area,2025,AU,NCC,102,0,0,CS Storage - >= 50 ft2 _NCC2025AU,CS Storage - >= 50 ft2 _NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Storage - >= 50 ft2 PeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Storage - Warehouses,,,IMC Table 403.3.1.1Storage - WarehousesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Storage - >= 50 ft2 ElectricalEquipDef,NECB-E-Electric-Equipment,0.139355,1.50,0.37,0.2,NCC J7D3a,,Storage; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Storage - >= 50 ft2 LightingDef,NECB-E-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Storage - >= 50 ft2 Infil,Always On,SmallHotel,Storage4Front,,7.37,,MediumRough,0.004,10.9,2584,1123,0.9,0.7,0.7,Mixed_Commercial_Storage_4mm,CalculatedEstimate,ShelvingWithFileAndPaperBoxes,,Mixed_Commercial_Storage_4mm,CalculatedEstimateShelvingWithFileAndPaperBoxesMixed_Commercial_Storage_4mmInternalMassDef
CS Storage - < 50 ft2 ,NCC2025_AU,Miscellaneous,Storage - < 50 ft2,Storage area,2025,AU,NCC,102,0,0,CS Storage - < 50 ft2 _NCC2025AU,CS Storage - < 50 ft2 _NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Storage - < 50 ft2 PeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Storage - Warehouses,,,IMC Table 403.3.1.1Storage - WarehousesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Storage - < 50 ft2 ElectricalEquipDef,NECB-E-Electric-Equipment,0.139355,1.50,0.37,0.2,NCC J7D3a,,Storage; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Storage - < 50 ft2 LightingDef,NECB-E-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Storage - < 50 ft2 Infil,Always On,SmallHotel,Storage4Front,,4.72,,MediumRough,0.0025,14.7,2644,1128,0.9,0.7,0.7,Mixed_Small_Storage_2mm,CalculatedEstimate,WallShelvingInJanitorialCloset,,Mixed_Small_Storage_2mm,CalculatedEstimateWallShelvingInJanitorialClosetMixed_Small_Storage_2mmInternalMassDef
CS Vehicular Maintenance,NCC2025_AU,Repair Garage,Vehicular Maintenance,Workshop space,2025,AU,NCC,153,0,76,CS Vehicular Maintenance_NCC2025AU,CS Vehicular Maintenance_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Vehicular MaintenancePeopleDef,,,,,,,0.75,0.00035396,,IMC Table 403.3.1.1,Storage_Repair garages_enclosed parking garage,,,IMC Table 403.3.1.1Storage_Repair garages_enclosed parking garageVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Vehicular MaintenanceElectricalEquipDef,NECB-A-Electric-Equipment,0.590000,6.35071,0.37,0.2,IECC Table C405.3.2(2),,Vehicular maintenance area; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Vehicular MaintenanceLightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Vehicular MaintenanceInfil,Always On,Space Function,Parking garage space,,1.31,,Smooth,0.0045,41.4,7054,551,0.9,0.7,0.7,Steel_AutoShop_4mm,CalculatedEstimate,VehicleLiftsAndToolChests,,Steel_AutoShop_4mm,CalculatedEstimateVehicleLiftsAndToolChestsSteel_AutoShop_4mmInternalMassDef
CS Workshop,NCC2025_AU,Workshop,Workshop,Workshop space,2025,AU,NCC,160,160,160,CS Workshop_NCC2025AU,CS Workshop_NCC2025AUScheduleSet,50,20,0.215278301,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS WorkshopPeopleDef,NECB-A-Occupancy,CS WorkshopActivity,10,0.004719207,0.18,0.0009144,0.5,0.000235974,,IMC Table 403.3.1.1,Education - Wood/metal shops,,,IMC Table 403.3.1.1Education - Wood/metal shopsVent,0.000000,0.00,0.1,0.5,0.1,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS WorkshopElectricalEquipDef,NECB-A-Electric-Equipment,1.170000,12.59377,0.37,0.2,IECC Table C405.3.2(2),,Workshop; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS WorkshopLightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS WorkshopInfil,Always On,Space Function,Parking garage space,,2.27,,Smooth,0.0025,40.8,6533,647,0.9,0.7,0.7,Steel_Workshop_2mm,CalculatedEstimate,MachineToolsAndWorkbenches,,Steel_Workshop_2mm,CalculatedEstimateMachineToolsAndWorkbenchesSteel_Workshop_2mmInternalMassDef
SS Assisted Living - Chapel,NCC2025_AU,Religious,Chapel,Religious - fellowship hall,2025,AU,NCC,255,153,255,SS Assisted Living - Chapel_NCC2025AU,SS Assisted Living - Chapel_NCC2025AUScheduleSet,8.333333333,120,1.291669806,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Assisted Living - ChapelPeopleDef,NECB-C-Occupancy,SS Assisted Living - ChapelActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Places of religious worship,,,IMC Table 403.3.1.1Public spaces - Places of religious worshipVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Assisted Living - ChapelElectricalEquipDef,NECB-C-Electric-Equipment,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (chapel); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aSS Assisted Living - ChapelLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Assisted Living - ChapelInfil,Always On,Space Function,Religious - fellowship hall,,3.06,,MediumRough,0.008,3.09,855,1384,0.9,0.7,0.7,Mixed_Chapel_8mm,CalculatedEstimate,ChapelSeatingAndAltarFurnishings,,Mixed_Chapel_8mm,CalculatedEstimateChapelSeatingAndAltarFurnishingsMixed_Chapel_8mmInternalMassDef
SS Nursing Home - Recreation Room,NCC2025_AU,Nursing Home,Recreation Room,Hospital - lounge/recreation,2025,AU,NCC,255,0,0,SS Nursing Home - Recreation Room_NCC2025AU,SS Nursing Home - Recreation Room_NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Assisted Living - Recreation RoomPeopleDef,NCC-C9cAgedCare-Occupancy,SS Assisted Living - Recreation RoomActivity,20,0.009438414,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement - Health club/aerobics room,,,IMC Table 403.3.1.1Sports and amusement - Health club/aerobics roomVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9c building: S35C2l's 160 W/room provision applies only to sole-occupancy resident rooms; a recreation room is a communal space so it defaults to 'Other applications - No load'; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Nursing Home - Recreation RoomElectricalEquipDef,Always On,0.418064,4.50,0.37,0.2,NCC J7D3a,,Lounge area for communal use in a Class 3 or 9c building (Class 9c aged care building - NCC 2025 Vol One Spec 35 Table S35C2k is the applicable occupancy profile table for future schedule work); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Nursing Home - Recreation RoomLightingDef,NCC-C9cAgedCare-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Assisted Living - Recreation RoomInfil,Always On,Space Function,Hospital - lounge/recreation,,3.38,,MediumRough,0.0038,6.76,1572,1213,0.9,0.7,0.7,Mixed_Recreation_4mm,CalculatedEstimate,RecreationRoomFurnitureAndGameTables,,Mixed_Recreation_4mm,CalculatedEstimateRecreationRoomFurnitureAndGameTablesMixed_Recreation_4mmInternalMassDef
SS Convention Center - Exhibit Space  ,NCC2025_AU,Convention Center,Exhibit Space,Convention centre - exhibit,2025,AU,NCC,204,204,0,SS Convention Center - Exhibit Space  _NCC2025AU,SS Convention Center - Exhibit Space  _NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Convention Center - Exhibit Space  PeopleDef,NCC-C9bConference-Occupancy,SS Convention Center - Exhibit Space  Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces - Museums/galleries,,,IMC Table 403.3.1.1Public spaces - Museums/galleriesVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Convention Center - Exhibit Space  ElectricalEquipDef,NCC-C9bConference-LightingEquipment,0.500000,5.38195,0.37,0.2,IECC Table C405.3.2(2),,Convention Center - exhibit space; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Convention Center - Exhibit Space  LightingDef,NCC-C9bConference-LightingEquipment,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Convention Center - Exhibit Space  Infil,Always On,Space Function,Convention centre - exhibit,,2,,MediumRough,0.0017,7.9,1757,1092,0.9,0.7,0.7,Mixed_Exhibit_2mm,CalculatedEstimate,ConventionExhibitBoothsAndDisplays,,Mixed_Exhibit_2mm,CalculatedEstimateConventionExhibitBoothsAndDisplaysMixed_Exhibit_2mmInternalMassDef
SS Dormitory - Living Quarters  ,NCC2025_AU,Dormitory,Living Quarters,Dormitory - living quarters,2025,AU,NCC,176,224,230,SS Dormitory - Living Quarters  _NCC2025AU,SS Dormitory - Living Quarters  _NCC2025AUScheduleSet,50,20,0.215278301,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Dormitory - Living Quarters  PeopleDef,NCC-C3-Occupancy,SS Dormitory - Living Quarters  Activity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Hotels, motels, resorts and dormitories - Dormitory sleeping area",,,"IMC Table 403.3.1.1Hotels, motels, resorts and dormitories - Dormitory sleeping areaVent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 3 dormitories - no load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Dormitory - Living Quarters  ElectricalEquipDef,NCC-C3-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Dormitory of a Class 3 building used for sleeping and study; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Dormitory - Living Quarters  LightingDef,NCC-C3-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Dormitory - Living Quarters  Infil,Always On,Space Function,Dormitory - living quarters,,4.15,,MediumRough,0.0049,6.7,1266,1256,0.9,0.7,0.7,Mixed_Dormitory_5mm,CalculatedEstimate,DormitoryBedroomFurniture,,Mixed_Dormitory_5mm,CalculatedEstimateDormitoryBedroomFurnitureMixed_Dormitory_5mmInternalMassDef
